2023-02-17 19:00:48.847 [info] Log level: Info
2023-02-17 19:00:48.847 [info] Validating found git in: "C:\Program Files\Git\cmd\git.exe"
2023-02-17 19:00:48.944 [info] Using git "2.35.1.windows.2" from "C:\Program Files\Git\cmd\git.exe"
2023-02-17 19:00:49.454 [info] > git rev-parse --show-toplevel [489ms]
2023-02-17 19:00:49.653 [info] > git rev-parse --show-toplevel [170ms]
2023-02-17 19:00:49.775 [info] > git rev-parse --show-toplevel [111ms]
2023-02-17 19:00:49.878 [info] > git rev-parse --show-toplevel [94ms]
2023-02-17 19:00:49.981 [info] > git rev-parse --show-toplevel [93ms]
2023-02-17 19:00:50.083 [info] > git rev-parse --show-toplevel [87ms]
2023-02-17 19:00:50.272 [info] > git rev-parse --show-toplevel [177ms]
2023-02-17 19:00:50.489 [info] > git rev-parse --show-toplevel [163ms]
2023-02-17 19:00:50.640 [info] > git rev-parse --show-toplevel [124ms]
2023-02-17 19:00:50.760 [info] > git rev-parse --show-toplevel [104ms]
2023-02-17 19:00:50.848 [info] > git rev-parse --show-toplevel [79ms]
2023-02-17 19:00:50.926 [info] > git rev-parse --show-toplevel [70ms]
2023-02-17 19:00:51.001 [info] > git rev-parse --show-toplevel [66ms]
2023-02-17 19:00:51.078 [info] > git rev-parse --show-toplevel [68ms]
2023-02-17 19:00:51.163 [info] > git rev-parse --show-toplevel [77ms]
2023-02-17 19:00:51.268 [info] > git rev-parse --show-toplevel [89ms]
2023-02-17 19:00:51.352 [info] > git rev-parse --show-toplevel [75ms]
2023-02-17 19:00:51.461 [info] > git rev-parse --show-toplevel [101ms]
2023-02-17 19:00:51.550 [info] > git rev-parse --show-toplevel [79ms]
2023-02-17 19:00:51.640 [info] > git rev-parse --show-toplevel [77ms]
2023-02-17 19:00:51.731 [info] > git rev-parse --show-toplevel [79ms]
2023-02-17 19:00:51.845 [info] > git rev-parse --show-toplevel [100ms]
2023-02-17 19:00:51.923 [info] > git rev-parse --show-toplevel [68ms]
2023-02-17 19:00:52.012 [info] > git rev-parse --show-toplevel [81ms]
2023-02-17 19:00:52.106 [info] > git rev-parse --show-toplevel [86ms]
2023-02-17 19:00:52.186 [info] > git rev-parse --show-toplevel [71ms]
2023-02-17 19:00:52.278 [info] > git rev-parse --show-toplevel [82ms]
2023-02-17 19:00:52.375 [info] > git rev-parse --show-toplevel [87ms]
2023-02-17 19:06:10.026 [info] > git rev-parse --show-toplevel [73ms]
2023-02-17 19:13:07.375 [info] > git rev-parse --show-toplevel [52ms]
2023-02-17 19:15:51.809 [info] > git rev-parse --show-toplevel [58ms]
2023-02-17 19:15:58.132 [info] > git rev-parse --show-toplevel [44ms]
2023-02-17 19:17:18.040 [info] > git rev-parse --show-toplevel [71ms]
2023-02-17 19:19:04.387 [info] > git rev-parse --show-toplevel [52ms]
2023-02-17 19:19:47.888 [info] > git rev-parse --show-toplevel [41ms]
2023-02-17 19:32:42.578 [info] > git rev-parse --show-toplevel [48ms]
2023-02-17 19:33:28.295 [info] > git rev-parse --show-toplevel [49ms]
2023-02-17 19:37:10.877 [info] > git rev-parse --show-toplevel [47ms]
2023-02-17 19:37:17.830 [info] > git rev-parse --show-toplevel [37ms]
2023-02-17 19:37:31.977 [info] > git rev-parse --show-toplevel [42ms]
2023-02-17 19:45:05.115 [info] > git rev-parse --show-toplevel [53ms]
2023-02-17 19:46:52.801 [info] > git rev-parse --show-toplevel [37ms]
2023-02-17 19:48:52.936 [info] > git rev-parse --show-toplevel [46ms]
2023-02-17 19:48:54.167 [info] > git rev-parse --show-toplevel [41ms]
2023-02-17 19:49:52.332 [info] > git rev-parse --show-toplevel [39ms]
2023-02-17 19:50:24.558 [info] > git rev-parse --show-toplevel [40ms]
2023-02-17 19:52:16.958 [info] > git rev-parse --show-toplevel [70ms]
2023-02-17 19:53:54.926 [info] > git rev-parse --show-toplevel [49ms]
2023-02-17 19:53:56.232 [info] > git rev-parse --show-toplevel [43ms]
2023-02-17 19:53:57.136 [info] > git rev-parse --show-toplevel [40ms]
2023-02-17 19:55:01.946 [info] > git rev-parse --show-toplevel [43ms]
2023-02-17 19:59:23.826 [info] > git rev-parse --show-toplevel [67ms]
2023-02-17 20:02:15.497 [info] > git rev-parse --show-toplevel [130ms]
2023-02-17 20:02:39.362 [info] > git rev-parse --show-toplevel [37ms]
2023-02-17 20:08:07.154 [info] > git rev-parse --show-toplevel [45ms]
2023-02-17 20:09:33.568 [info] > git rev-parse --show-toplevel [39ms]
2023-02-17 22:00:44.462 [info] > git rev-parse --show-toplevel [479ms]
