2023-02-10 19:20:50.039 [info] Log level: Info
2023-02-10 19:20:50.039 [info] Validating found git in: "C:\Program Files\Git\cmd\git.exe"
2023-02-10 19:20:54.999 [info] Using git "2.35.1.windows.2" from "C:\Program Files\Git\cmd\git.exe"
2023-02-10 19:20:55.755 [info] > git rev-parse --show-toplevel [744ms]
2023-02-10 19:20:55.839 [info] > git rev-parse --show-toplevel [67ms]
2023-02-10 19:20:55.903 [info] > git rev-parse --show-toplevel [55ms]
2023-02-10 19:20:55.973 [info] > git rev-parse --show-toplevel [63ms]
2023-02-10 19:20:56.039 [info] > git rev-parse --show-toplevel [58ms]
2023-02-10 19:20:56.105 [info] > git rev-parse --show-toplevel [58ms]
2023-02-10 19:20:56.168 [info] > git rev-parse --show-toplevel [56ms]
2023-02-10 19:20:56.237 [info] > git rev-parse --show-toplevel [61ms]
2023-02-10 19:20:56.298 [info] > git rev-parse --show-toplevel [54ms]
2023-02-10 19:20:56.357 [info] > git rev-parse --show-toplevel [52ms]
2023-02-10 19:20:56.419 [info] > git rev-parse --show-toplevel [55ms]
2023-02-10 19:20:56.479 [info] > git rev-parse --show-toplevel [54ms]
2023-02-10 19:20:56.540 [info] > git rev-parse --show-toplevel [53ms]
2023-02-10 19:20:56.599 [info] > git rev-parse --show-toplevel [51ms]
2023-02-10 19:20:56.661 [info] > git rev-parse --show-toplevel [54ms]
2023-02-10 19:20:56.743 [info] > git rev-parse --show-toplevel [75ms]
2023-02-10 19:20:56.815 [info] > git rev-parse --show-toplevel [61ms]
2023-02-10 19:20:56.881 [info] > git rev-parse --show-toplevel [60ms]
2023-02-10 19:20:56.950 [info] > git rev-parse --show-toplevel [59ms]
2023-02-10 19:20:57.023 [info] > git rev-parse --show-toplevel [65ms]
2023-02-10 19:20:57.112 [info] > git rev-parse --show-toplevel [80ms]
2023-02-10 19:20:57.193 [info] > git rev-parse --show-toplevel [74ms]
2023-02-10 19:20:57.249 [info] > git rev-parse --show-toplevel [48ms]
2023-02-10 19:39:50.713 [info] > git rev-parse --show-toplevel [66ms]
2023-02-10 19:40:14.197 [info] > git rev-parse --show-toplevel [82ms]
2023-02-10 19:40:40.806 [info] > git rev-parse --show-toplevel [48ms]
2023-02-10 19:56:17.769 [info] > git rev-parse --show-toplevel [160ms]
2023-02-10 19:57:05.584 [info] > git rev-parse --show-toplevel [81ms]
2023-02-10 19:57:09.714 [info] > git rev-parse --show-toplevel [65ms]
2023-02-10 19:57:17.971 [info] > git rev-parse --show-toplevel [60ms]
2023-02-10 19:57:19.941 [info] > git rev-parse --show-toplevel [57ms]
2023-02-10 19:57:42.122 [info] > git rev-parse --show-toplevel [48ms]
2023-02-10 19:57:42.955 [info] > git rev-parse --show-toplevel [50ms]
2023-02-10 19:57:49.205 [info] > git rev-parse --show-toplevel [63ms]
2023-02-10 19:59:09.863 [info] > git rev-parse --show-toplevel [52ms]
2023-02-10 19:59:13.775 [info] > git rev-parse --show-toplevel [53ms]
2023-02-10 19:59:36.898 [info] > git rev-parse --show-toplevel [49ms]
2023-02-10 20:05:18.077 [info] > git rev-parse --show-toplevel [84ms]
2023-02-10 20:08:16.132 [info] > git rev-parse --show-toplevel [55ms]
2023-02-10 20:08:56.683 [info] > git rev-parse --show-toplevel [49ms]
2023-02-10 20:09:20.121 [info] > git rev-parse --show-toplevel [46ms]
2023-02-10 20:09:40.239 [info] > git rev-parse --show-toplevel [49ms]
2023-02-10 20:31:46.683 [info] > git rev-parse --show-toplevel [66ms]
2023-02-10 20:31:59.693 [info] > git rev-parse --show-toplevel [40ms]
2023-02-10 20:45:29.836 [info] > git rev-parse --show-toplevel [47ms]
2023-02-10 20:50:55.921 [info] > git rev-parse --show-toplevel [64ms]
2023-02-10 20:51:04.676 [info] > git rev-parse --show-toplevel [83ms]
2023-02-10 20:52:25.505 [info] > git rev-parse --show-toplevel [49ms]
2023-02-10 20:53:12.886 [info] > git rev-parse --show-toplevel [46ms]
2023-02-10 20:54:09.896 [info] > git rev-parse --show-toplevel [79ms]
2023-02-10 20:54:13.494 [info] > git rev-parse --show-toplevel [48ms]
2023-02-10 20:54:36.194 [info] > git rev-parse --show-toplevel [53ms]
2023-02-10 20:54:40.523 [info] > git rev-parse --show-toplevel [81ms]
2023-02-10 20:54:46.346 [info] > git rev-parse --show-toplevel [52ms]
2023-02-10 20:54:56.741 [info] > git rev-parse --show-toplevel [56ms]
2023-02-10 20:55:15.123 [info] > git rev-parse --show-toplevel [54ms]
2023-02-10 20:55:34.525 [info] > git rev-parse --show-toplevel [44ms]
2023-02-10 20:56:19.155 [info] > git rev-parse --show-toplevel [50ms]
2023-02-10 21:07:51.055 [info] > git rev-parse --show-toplevel [50ms]
2023-02-10 21:10:31.828 [info] > git rev-parse --show-toplevel [48ms]
2023-02-10 21:15:22.264 [info] > git rev-parse --show-toplevel [47ms]
2023-02-10 21:15:25.613 [info] > git rev-parse --show-toplevel [56ms]
