2023-02-08 21:33:56.614 [info] Log level: Info
2023-02-08 21:33:56.617 [info] Validating found git in: "C:\Program Files\Git\cmd\git.exe"
2023-02-08 21:33:56.843 [info] Using git "2.35.1.windows.2" from "C:\Program Files\Git\cmd\git.exe"
2023-02-08 21:33:57.042 [info] > git rev-parse --show-toplevel [169ms]
2023-02-08 21:33:57.887 [info] > git rev-parse --show-toplevel [809ms]
2023-02-08 21:33:58.201 [info] > git rev-parse --show-toplevel [269ms]
2023-02-08 21:33:58.745 [info] > git rev-parse --show-toplevel [489ms]
2023-02-08 21:33:59.054 [info] > git rev-parse --show-toplevel [285ms]
2023-02-08 21:34:00.758 [info] > git rev-parse --show-toplevel [1684ms]
2023-02-08 21:34:00.956 [info] > git rev-parse --show-toplevel [176ms]
2023-02-08 21:34:01.142 [info] > git rev-parse --show-toplevel [135ms]
2023-02-08 21:34:01.308 [info] > git rev-parse --show-toplevel [146ms]
2023-02-08 21:34:01.486 [info] > git rev-parse --show-toplevel [156ms]
2023-02-08 21:34:01.685 [info] > git rev-parse --show-toplevel [175ms]
2023-02-08 21:34:01.952 [info] > git rev-parse --show-toplevel [238ms]
2023-02-08 21:34:02.137 [info] > git rev-parse --show-toplevel [164ms]
2023-02-08 21:34:02.312 [info] > git rev-parse --show-toplevel [155ms]
2023-02-08 21:34:02.513 [info] > git rev-parse --show-toplevel [178ms]
2023-02-08 21:34:02.711 [info] > git rev-parse --show-toplevel [173ms]
2023-02-08 21:34:03.039 [info] > git rev-parse --show-toplevel [295ms]
2023-02-08 21:34:03.278 [info] > git rev-parse --show-toplevel [162ms]
2023-02-08 21:34:03.455 [info] > git rev-parse --show-toplevel [155ms]
2023-02-08 21:34:03.634 [info] > git rev-parse --show-toplevel [160ms]
2023-02-08 21:34:03.853 [info] > git rev-parse --show-toplevel [190ms]
2023-02-08 21:34:04.009 [info] > git rev-parse --show-toplevel [134ms]
2023-02-08 21:34:10.297 [info] > git rev-parse --show-toplevel [127ms]
2023-02-08 21:42:08.665 [info] > git rev-parse --show-toplevel [71ms]
2023-02-08 21:42:35.385 [info] > git rev-parse --show-toplevel [70ms]
2023-02-08 21:44:48.930 [info] > git rev-parse --show-toplevel [56ms]
2023-02-08 21:45:44.518 [info] > git rev-parse --show-toplevel [50ms]
2023-02-08 21:45:54.553 [info] > git rev-parse --show-toplevel [57ms]
2023-02-08 21:46:01.119 [info] > git rev-parse --show-toplevel [55ms]
2023-02-08 21:46:57.052 [info] > git rev-parse --show-toplevel [58ms]
2023-02-08 21:47:00.782 [info] > git rev-parse --show-toplevel [65ms]
2023-02-08 21:50:15.374 [info] > git rev-parse --show-toplevel [41ms]
2023-02-08 21:50:17.341 [info] > git rev-parse --show-toplevel [78ms]
2023-02-08 21:52:39.789 [info] > git rev-parse --show-toplevel [61ms]
2023-02-08 21:52:47.210 [info] > git rev-parse --show-toplevel [62ms]
2023-02-08 21:54:24.354 [info] > git rev-parse --show-toplevel [54ms]
2023-02-08 21:54:32.671 [info] > git rev-parse --show-toplevel [54ms]
2023-02-08 22:00:04.965 [info] > git rev-parse --show-toplevel [63ms]
2023-02-08 22:00:07.796 [info] > git rev-parse --show-toplevel [61ms]
