2023-02-09 18:15:29.278 [info] Log level: Info
2023-02-09 18:15:29.278 [info] Validating found git in: "C:\Program Files\Git\cmd\git.exe"
2023-02-09 18:15:29.359 [info] Using git "2.35.1.windows.2" from "C:\Program Files\Git\cmd\git.exe"
2023-02-09 18:15:29.448 [info] > git rev-parse --show-toplevel [80ms]
2023-02-09 18:15:29.670 [info] > git rev-parse --show-toplevel [93ms]
2023-02-09 18:15:29.743 [info] > git rev-parse --show-toplevel [63ms]
2023-02-09 18:15:29.810 [info] > git rev-parse --show-toplevel [60ms]
2023-02-09 18:15:30.038 [info] > git rev-parse --show-toplevel [220ms]
2023-02-09 18:15:30.127 [info] > git rev-parse --show-toplevel [82ms]
2023-02-09 18:15:30.192 [info] > git rev-parse --show-toplevel [58ms]
2023-02-09 18:15:30.269 [info] > git rev-parse --show-toplevel [69ms]
2023-02-09 18:15:30.325 [info] > git rev-parse --show-toplevel [51ms]
2023-02-09 18:15:30.387 [info] > git rev-parse --show-toplevel [56ms]
2023-02-09 18:15:30.853 [info] > git rev-parse --show-toplevel [461ms]
2023-02-09 18:15:31.048 [info] > git rev-parse --show-toplevel [129ms]
2023-02-09 18:15:31.136 [info] > git rev-parse --show-toplevel [68ms]
2023-02-09 18:15:31.194 [info] > git rev-parse --show-toplevel [52ms]
2023-02-09 18:15:31.278 [info] > git rev-parse --show-toplevel [76ms]
2023-02-09 18:15:31.389 [info] > git rev-parse --show-toplevel [103ms]
2023-02-09 18:15:31.449 [info] > git rev-parse --show-toplevel [53ms]
2023-02-09 18:15:31.507 [info] > git rev-parse --show-toplevel [51ms]
2023-02-09 18:15:31.562 [info] > git rev-parse --show-toplevel [49ms]
2023-02-09 18:15:31.621 [info] > git rev-parse --show-toplevel [53ms]
2023-02-09 18:15:31.678 [info] > git rev-parse --show-toplevel [51ms]
2023-02-09 18:15:31.732 [info] > git rev-parse --show-toplevel [48ms]
2023-02-09 18:19:06.129 [info] > git rev-parse --show-toplevel [85ms]
